question,answer,negative
What is the punishment for my kid if the smoke?,Students can be expelled from school if they cross school regulation and law in Indonesia.,"During dismissal, parents need to wait outside gate B or C to pick up their kids."
Who is responsible for providing constant accompaniment to Early Years and Primary students throughout Binus day?,The Class Teacher (CT) and Co-Teacher (CoT) are responsible for accompanying the students at all times during school hours,"While a specific policy isn't detailed, Binus integrates regular Recess and Lunch breaks into the daily schedule to allow students to recharge. In the Primary years, Class Teachers and Co-Teachers accompany students at all times, which allows for constant monitoring of student well-being."
How does Binus utilize digital platforms and physical diaries to keep parents informed about Primary student assignments?,Parents use LMS to follow up on student assignments and monitor daily progress through a physical school diary,"Binus fosters harmony through multiple communication channels, including MS Teams for tracking assignments, school diaries for progress monitoring, and regular newsletters. Additionally, it facilitates structured interactions such as Parent Teacher Conferences (PTC) and Student Led Conferences, while Binus management and marketing teams discuss and address parental concerns brought forward by the Advisory Committee of Parents (ACOP)."
How does Binus support EY1 students who are not yet fully independent with using the toilet?, The EY1 level includes toilet training with the goal of helping students become independent and able to express their personal needs,The EY1 level is specifically designed to focus on socialization and readiness for Binus routine. Class sizes are capped at 24 students to ensure personalized attention.
How does Binus handle language exposure at this age?,"In EY1, the focus is on listening and comprehension of simple English; as students progress, they are encouraged to speak it daily. Mandarin is also introduced through basic stages like greetings and colors.","Binus provides an immersive environment where English is encouraged daily, and students are expected to listen and understand simple instructions starting in EY1. Mandarin is introduced as an additional language starting at the Early Years level with basics like greetings and numbers, and Bahasa Indonesia is included as a core subject."
How to pick up my kids?,"During dismissal, parents need to wait outside gate B or C to pick up their kids.",Toddlers are protected by the constant supervision of Class Teachers and Co-Teachers who stay with them throughout the day. 
How do teachers build warm relationships with students?,"Warm relationships are fostered by the constant presence of Class Teachers and Co-Teachers, who stay with their students throughout the entire school day","Relationships are nurtured through CARE sessions with Form Teachers and daily interaction, as Class Teachers (CT) and Co-Teachers (CoT) accompany students throughout the day in younger years."
What values does Binus prioritize in shaping students’ behavior and mindset?,"Binus prioritizes self-management, social skills, and socio-emotional development. The curriculum explicitly includes character building as a core pillar to prepare students for leadership and life beyond exams.","Discipline in the Early Years focuses on socialisation, behavior guidance, and routine building to prepare children for formal schooling. Binus emphasizes Socio-Emotional Learning and developing self-management skills as a core part of the curriculum."
How is cooperation encouraged over comparison?,The curriculum focuses on developing social skills and fostering well-being rather than competitive rankings at this early age.,"Binus encourage students to have same uniform without differentiate their religions, or nationalities."
Are key documents and communications available in English or other languages?,"Most key documents, including Binus handbooks and Frequently Asked Questions, are available in English.","English is the primary medium of instruction. Students are encouraged to use English daily, though expectations are lower for the youngest learners in EY1."
How does Binus ensure teachers are role models?,The academic calendar includes dedicated Professional Development Days for teachers throughout the year.,"Binus maintains small class capacities—a maximum of 24 students in Early Years and Primary, and 28 in Secondary—to help teachers effectively manage diverse student personalities"
How do teachers communicate daily progress to parents?,"Each class has class parent representative to communicate about what happen in the class, parents and teacher also can communicate via email or Microsoft Teams chat","Teachers appear to be open to communication through several established channels. In Primary years, parents use MS Teams to follow up on assignments and monitor progress via a school diary."
"How are hygiene, cleanliness, and toileting handled?","We are collaborating with ISS, the facility management company who ensure the cleanliness our building", The EY1 level includes toilet training with the goal of helping students become independent and able to express their personal needs
